,name,address,description,localidad,latitude,longitude
56,Galerías,Calle 53B #25-21,Centro comercial de marcas y productos. Parqueadero. Comidas.,Teusaquillo,-74.074784,4.643118200000001
57,Granada Hills,Autopista Norte #146-48,"Centro comercial, almacenes.",Usaquén,-74.0494184,4.7293459
58,Hacienda Santa Bárbara,Carrera 7 #115-60,"Disfruta en Hacienda Santa Bárbara de las mejores marcas en más de 350 locales, cafés, cine bar y amplios parqueaderos. Servicio de sillas de ruedas y coches para niños. Servicio de taxi.",Usaquén,-74.0328937,4.693390400000001
59,Hayuelos,Calle 20 #82-52,Centro comercial multimarcas.,Fontibón,-74.1307305,4.6637797
60,Heliocentro,Carrera 20 #14-21 Sur,Centro comercial.,Antonio Nariño,-74.10037009999999,4.5878744
61,Iserra 100,Transversal 55 #99A-66,Centro comercial.,Barrios Unidos,-74.06022879999999,4.6510245
62,La Gallerie,Carrera 15 #118-09,Centro comercial y de negocios.,Usaquén,-74.0432901,4.697616399999999
63,La Novena,Carrera 9 #12-50,Centro comercial.,Candelaria,-74.0762937,4.6006658
64,La Sabana,Carrera 18 #12-43/73,Centro Comercial.,Mártires,-74.0841933,4.6059169
65,Intercentro,Calle 24 #9-29/31,"Cuneta con las supertiendas olímpicas, almacenes de instrumentos musicales, computadores, ropa, calzado, suministros para computador y oficina, fotocopias y fotocopiadoras, fútbol 5, cafeterías, comun
    [...]",Santa Fé,-74.0711468,4.6104897
66,La Colina 138,Calle 138 #55-53,Centro comercial de diferentes marcas.,Suba,-74.0603546,4.7261389
67,La Macarena,Carrera 5 #27-27,Centro comercial.,Santa Fé,-74.0670629,4.613884
68,La Pajarera del 20,Calle 22 sur #5-76,Centro comercial.,San Cristóbal,-74.0909791,4.5723183
69,Lago 80,Calle 15 #80-05,Centro comercial.,Chapinero,-74.05709499999999,4.666458899999999
70,Lagocentro,Calle 15 #79-69,Centro comercial. Varios.,Chapinero,-74.0574776,4.6662352
71,Las Avenidas,Calle 13 #14-23,Centro comercial. Centro comercial de telefonía celular.,Mártires,-74.0803695,4.6037111
72,Los Angeles,Calle 19 #4-71,Centro comercial.,Santa Fé,-74.0697591,4.6036964
73,Mazuren,Carrera 46 #152-46,Ciudadela comercial.,Suba,-74.0498336,4.7362611
74,Metro 127,Calle 127 #15-03,Especializado en restaurantes.,Usaquén,-74.04312829999999,4.7037599
75,Las Américas,Carrera 38 #10-24/40,"Centro comercial. Electrodomésticos, perfumería y ropa informal.",Puente Aranda,-74.1137347,4.602121299999999
76,Los 3 Elefantes,Carrera 53 #102 A 77,Centro comercial.,Suba,-74.06315049999999,4.6914421
77,Mall 138,Carrera 59 #136-95,Centro comercial.,Suba,-74.0678179,4.727759199999999
78,Mercurio,Carrera 7 #32-35,Centro comercial multimarcas.,Municipios Aledaños,-74.0681105,4.6192548
79,Metro San Cayetano,Calle 46 A #85 A 51,Centro comercial multimarcas.,Engativá,-74.11566959999999,4.6772572
80,Metrocentro,Carrera 10 #11-73 - P 6,"El Centro comercial Metrocentro Ubicado en el centro de Bogotá, es reconocido nacional e internacionalmente por la distribución de productos artesanales joyería, bisutería y fabricación de la mejor ca
    [...]",Santa Fé,-74.07781419999999,4.6007397
81,Milenio Center,Calle 13 #15-29,Centro comercial de telefonía celular.,Mártires,-74.0811058,4.6042779
82,Minicentro comercial La Trece,Calle 13 #14-13,Llamadas. Celulares. Tigo.,Mártires,-74.079937,4.6038842
83,Monserrate,Carrera 7 #18-42,Centro comercial.,Candelaria,-74.0716946,4.6047477
84,Mundo Artesanal,Calle 53 #14-48,Centro comercial de insumos para artesanias.,Teusaquillo,-74.0667653,4.6406466
85,Metrópolis,Avenida 68 #75a-50,Centro comercial de multiproductos.,Barrios Unidos,-74.0823131,4.6804792
86,Milenio Plaza,Avenida Ciudad de Cali #42 B - 51 Sur,Centro comercial.,Kennedy,-74.1692011,4.6297698
87,Mirandela Plaza,Calle 187 #49-64,Ropa para mujer y hombre.,Suba,-74.04718869999999,4.7655923
88,Mundo Arte de la 53,Calle 53 #16-33,Centro comercial artesanal.,Teusaquillo,-74.0686435,4.6407313
89,Mundo G.S.M,Calle 13 #14-61,Centro comercial de telefonía celular.,Mártires,-74.08052750000002,4.6039008
90,Niza,Carrera 70D #127-48,"Centro comercial. Bancos, almacenes y supermercado Carulla. Parqueadero vigilado.",Suba,-74.0712189,4.712281
91,Opera Plaza,Carrera 13 #26-81,Centro comercial.,Santa Fé,-74.07114729999999,4.6141557
92,Orbicentro 2,Calle 53 #27-33,Centro comercial de diferentes marcas y productos.,Teusaquillo,-74.0763192,4.6420312
93,Palatino,Carrera 7 #138-33,Centro comercial.,Usaquén,-74.029229,4.7155447
94,Parque La Colina,Avenida Boyaca #145-02,Centro Comercial de marcas reconocidas a nivel global.,Suba,-74.06660649999999,4.7322313
95,Omni 19,Calle 19 #8-35,Centro comercial de productos varios.,Santa Fé,-74.072441,4.6056362
96,Orbicentro,Carrera 15 #118-45,Centro comercial.,Usaquén,-74.043425,4.698016
97,Outlet Centro Comercial Bima,Autopista Norte #232-35,"El primer y único centro comercial de descuentos en Bogotá.
más de 70 outlets de marcas reconocidas con un mercado lo suficientemente amplio para encontrarlo todo dentro del mismo centro: compras, di
    [...]",Suba,-74.0378783,4.80786
98,Palma Real,Carrera 13 #28-05,"Centro comercial, almacenes variados, restaurantes.",Santa Fé,-74.0699616,4.6157507
99,Pasaje comercial de la Sabana,Calle 13 #14-49,Celulares. Accesorios.,Mártires,-74.0805924,4.6038709
100,Pasaje comercial Tecnicelulares,Calle 13 #15-21,Centro comercial de celulares.,Mártires,-74.080987,4.6041777
101,Pasaje Paisa,Calle 10 #11- 08/10/12,"Más de 100 locales a su servicio ropa, calzado, todo para grandes y chicos.",Santa Fé,-74.0793504,4.5999056
102,Paseo San Rafael,Calle 134 #55-30,"Centro comercial multimarcas, bancos, Cinemark.",Suba,-74.0621409,4.7230129
103,Plaza 138,Calle 138 #58-74,Centro comercial.,Suba,-74.0660675,4.7290556
104,Plaza 54,Carrera 24 #53-73,Centro comercial multimarcas.,Teusaquillo,-74.0740344,4.6428885
105,Pasaje La Piñata,Carrera 51 #47-09 Sur,Pasaje comercial.,Tunjuelito,-74.1347653,4.5921749
106,Paseo San Rafael,Avenida Calle 134 #55-30,Centro comercial.,Suba,-74.0622362,4.7228893
107,Plaza 102,Avenida Carrera 19 #102-31 P. 1,"Centro comercial especializado en estetica, salud y belleza.",Usaquén,-74.05198010000001,4.6878579
108,Plaza 39,Calle 39 #7-40,Centro comercial almacenes.,Santa Fé,-74.0659822,4.6257413
109,Plaza 80,Calle 80 #70A-48,Centro comercial.,Suba,-74.086337,4.6924202
110,Plaza Aventura,Calle 130 #58-20,Centro comercial.,Suba,-74.0683037,4.720105
111,Plaza Center,Avenida Caracas #12-65/73,Centro comercial. Todo lo relacionado con telefonía celular.,Mártires,-74.0802179,4.603498500000001
112,Plaza Comercial Primavera,Calle 79 #89a-40,Centro comercial.,Engativá,-74.1027872,4.70349
113,Plaza Imperial,Avenida 104 #148-07,Centro comercial.,Suba,-74.0958334,4.7499839
114,Portal 80,Transversal 100A #80A-20,Centro comercial de variedades.,Engativá,-74.1112871,4.709607999999999
115,Plaza Belaire,Carrera 7 #152-54,Centro comercial multimarcas.,Usaquén,-74.02425889999999,4.727362400000001
116,Plaza Central,Carrera 65 #11-50,Centro comercial multimarcas.,Puente Aranda,-74.1154979,4.6318002
117,Plaza de las Américas,Transversal 71D #6-94 Sur,Centro comercial de variedades.,Kennedy,-74.1350296,4.618056
118,Plaza Mayor Centro Comercial,Avenida Pradilla #5–31 Este,"Espacio comercial y de entretenimiento que ofrece productos y servicios de alta calidad, situado en el municipio de Chía.",Municipios Aledaños,-74.0533322,4.8628444
119,Portoalegre,Carrera 58 #137b-01,Centro comercial.,Suba,-74.06508,4.7277656
120,Puerta del Sol,Calle 140 #11-58,Centro comercial.,Usaquén,-74.0367234,4.7194655
121,Puerto López,Carrera 51 #46a-08 sur,Centro comercial.,Tunjuelito,-74.13468379999999,4.5927472
122,Quirinal,Calle 59 #56-63,Centro comercial.,Teusaquillo,-74.0871859,4.6523644
123,Runcar,Carrera 6 #24 Esquina,Centro comercial.,San Cristóbal,-74.0937877,4.5704803
124,Sabana Plaza,Calle 13 #19-71,Centro comercial de variedades.,Mártires,-74.0852701,4.606931599999999
125,Puerta Grande San Jose,Carrera 22 #10-06,Centro comercial.,Mártires,-74.08916239999999,4.606351399999999
126,Punto 72,Calle 72 #86-69,Centro comercial.,Engativá,-74.1064281,4.6966464
127,Rego conjunto comercial,Carrera 17 #16-46 sur,Edificio comercial.,Antonio Nariño,-74.1373832,4.593783999999999
128,Sabana Norte Chia,Avenida Pradilla #2 A Este-71,Centro comercial.,Municipios Aledaños,-74.0774159,4.5836462
129,Salitre Plaza,Carrera 68B #24-39,Centro comercial. Parqueadero. Plazoleta de comidas.,Fontibón,-74.1101482,4.653319199999999
130,San Diego,Carrera 20 #17-35 sur,Centro comercial. Zapatos y ropa.,Antonio Nariño,-74.1019879,4.586274599999999
131,San Martín,Carrera 7A #32-16,"Centro comercial. Ciudadela turística, centro de convenciones y centro empresarial.",Santa Fé,-74.0679005,4.6188193
132,Santafé,Calle 185 #45-03,Centro comercial de variedades.,Suba,-74.0458089,4.763217
133,Show Place,Calle 147 #7-70,Centro comercial. Almacenes.,Usaquén,-74.02683929999999,4.723222
134,Starco,Carrera 15 #116-36,Centro comercial. Productos y servicios.,Usaquén,-74.0429102,4.6966245
135,San Francisco,Calle 80 #75-52,Centro comercial.,Engativá,-74.0927299,4.697703499999999
136,Santa Ana,Avenida Carrera 9 #110-50,Centro comercial de marcas reconocidas.,Usaquén,-74.03859059999999,4.6909377
137,Shopping 104,Carrera 15 #103-70,Centro comercial.,Usaquén,-74.0471385,4.6886092
138,Social del Restrepo,Calle 13 sur #19-40,Cento comercial de productos de precios bajos.,Antonio Nariño,-74.0994156,4.5888596
139,Subazar,Calle 145 #91-34,Centro comercial.,Suba,-74.08516399999999,4.738532999999999
140,Terraza Pasteur,Carrera 7 #23-56,"Centro comercial de almacénes, cafés y bares.",Santa Fé,-74.07003329999999,4.609756
141,Titan Plaza,Avenida Boyaca #80-94,Centro comercial multimarcas. Cine.,Suba,-74.08624209999999,4.695188400000001
142,Unicentro,Avenida 15 #123-30,"Centro comercial de marcas, bancos, restaurantes.",Usaquén,-74.0421727,4.703228
143,Unilago,Carrera 15 #78-33,Centro comercial especializado en tecnología.,Chapinero,-74.0584452,4.664958899999999
144,Unisur,Carrera 4 #28-10,Centro comercial de variedades.,Municipios Aledaños,-74.2068823,4.5849034
145,Tintal Plaza,Avenida Ciudad de Cali #con Américas,Centro comercial.,Kennedy,-74.1550203,4.6419128
146,Torre Ciudad Ltda,Avenida Americas #62-84,"Multioutlets es el primer gran centro comercial de outlets del pais ubicado sobre tres vías arterias principales: Avenida Americas, Carrera 68 y Calle 13, conformado por 300 locales comerciales, 1200 
    [...]",Puente Aranda,-74.1172287,4.630738099999999
147,Unicentro de Occidente,Carrera 111C #86-05,Centro comercial.,Engativá,-74.1150035,4.723000799999999
148,Unilago,Avenida Carrera 15 #78-33,Centro comercial. Varios.,Chapinero,-74.0584452,4.664958899999999
149,Universal,Avenida Caracas #12-81,Centro comercial especializado en telefonía celular.,Mártires,-74.0801673,4.6035749
